Date : 2023-02-28 15:16:04
Directory : d:\Development\Collaborative_development\flugo\flugo_mobile\lib
Total : 89 files,  3946 codes, 438 comments, 593 blanks, all 4977 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         89 |      3,946 |        438 |        593 |      4,977 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |         89 |      3,946 |        438 |        593 |      4,977 |
| . (Files)                                                                                                                                    |          1 |          5 |          0 |          2 |          7 |
| src                                                                                                                                          |         88 |      3,941 |        438 |        591 |      4,970 |
| src (Files)                                                                                                                                  |          1 |         55 |          2 |          3 |         60 |
| src\apis                                                                                                                                     |          2 |         50 |          6 |         18 |         74 |
| src\blocs                                                                                                                                    |         20 |        496 |        154 |        161 |        811 |
| src\blocs\authentication_blocs                                                                                                               |          8 |        249 |         75 |         73 |        397 |
| src\blocs\authentication_blocs (Files)                                                                                                       |          2 |         47 |         16 |         15 |         78 |
| src\blocs\authentication_blocs\sign_in_bloc                                                                                                  |          3 |         93 |         26 |         26 |        145 |
| src\blocs\authentication_blocs\sign_up_bloc                                                                                                  |          3 |        109 |         33 |         32 |        174 |
| src\blocs\home_bloc                                                                                                                          |          3 |        104 |         29 |         34 |        167 |
| src\blocs\joke_create_bloc                                                                                                                   |          4 |         98 |         31 |         32 |        161 |
| src\blocs\nav_bar_cubit                                                                                                                      |          2 |         11 |          6 |          7 |         24 |
| src\blocs\user_bloc                                                                                                                          |          3 |         34 |         13 |         15 |         62 |
| src\repositories                                                                                                                             |          7 |        173 |         53 |         45 |        271 |
| src\repositories (Files)                                                                                                                     |          2 |         68 |          8 |         13 |         89 |
| src\repositories\models                                                                                                                      |          5 |        105 |         45 |         32 |        182 |
| src\repositories\models\joke                                                                                                                 |          2 |         32 |         18 |         10 |         60 |
| src\repositories\models\user                                                                                                                 |          3 |         73 |         27 |         22 |        122 |
| src\shared                                                                                                                                   |          4 |        103 |         30 |         33 |        166 |
| src\shared (Files)                                                                                                                           |          3 |         71 |         22 |         21 |        114 |
| src\shared\components                                                                                                                        |          1 |         32 |          8 |         12 |         52 |
| src\views                                                                                                                                    |         54 |      3,064 |        193 |        331 |      3,588 |
| src\views\auth_views                                                                                                                         |         14 |        818 |         78 |         90 |        986 |
| src\views\auth_views (Files)                                                                                                                 |          3 |         84 |          8 |          9 |        101 |
| src\views\auth_views\components                                                                                                              |         11 |        734 |         70 |         81 |        885 |
| src\views\home                                                                                                                               |         17 |        984 |         48 |        104 |      1,136 |
| src\views\home (Files)                                                                                                                       |          1 |         60 |          2 |          6 |         68 |
| src\views\home\components                                                                                                                    |         16 |        924 |         46 |         98 |      1,068 |
| src\views\home\components (Files)                                                                                                            |          9 |        452 |         23 |         52 |        527 |
| src\views\home\components\filter_options_menu                                                                                                |          7 |        472 |         23 |         46 |        541 |
| src\views\joke_view                                                                                                                          |          6 |        268 |         17 |         31 |        316 |
| src\views\joke_view (Files)                                                                                                                  |          1 |         46 |          3 |          5 |         54 |
| src\views\joke_view\components                                                                                                               |          5 |        222 |         14 |         26 |        262 |
| src\views\profile                                                                                                                            |          9 |        459 |         28 |         48 |        535 |
| src\views\profile (Files)                                                                                                                    |          1 |         55 |          3 |          7 |         65 |
| src\views\profile\components                                                                                                                 |          8 |        404 |         25 |         41 |        470 |
| src\views\root                                                                                                                               |          1 |        107 |          2 |          7 |        116 |
| src\views\write                                                                                                                              |          7 |        428 |         20 |         51 |        499 |
| src\views\write (Files)                                                                                                                      |          1 |        107 |          2 |         10 |        119 |
| src\views\write\components                                                                                                                   |          6 |        321 |         18 |         41 |        380 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                     | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\main.dart                                                                    | Dart     |          5 |          0 |          2 |          7 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\authentication_api.dart                                             | Dart     |         24 |          3 |          8 |         35 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\jokes_api.dart                                                      | Dart     |         26 |          3 |         10 |         39 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\app.dart                                                                 | Dart     |         55 |          2 |          3 |         60 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\form_submission_status.dart                   | Dart     |         12 |         12 |          6 |         30 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_bloc.dart                | Dart     |         57 |          4 |         11 |         72 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_event.dart               | Dart     |         11 |         11 |          7 |         29 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_state.dart               | Dart     |         25 |         11 |          8 |         44 |
| d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_bloc.dart                | Dart     |         65 |          4 |         14 |         83 |
