"filename", "language", "Dart", "comment", "blank", "total"
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\jokes_api.dart", "Dart", 8, 0, 2, 10
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_bloc.dart", "Dart", 20, 0, 7, 27
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_event.dart", "Dart", 6, 1, 4, 11
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_jokes_bloc\user_jokes_bloc.dart", "Dart", 20, 3, 3, 26
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_jokes_bloc\user_jokes_event.dart", "Dart", 21, 16, 13, 50
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_jokes_bloc\user_jokes_state.dart", "Dart", 34, 13, 10, 57
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\jokes_repository.dart", "Dart", 4, 1, 1, 6
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\joke\joke.dart", "Dart", 4, 1, 1, 6
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\joke\joke_create.dart", "Dart", 17, 3, 3, 23
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\utilities\debouncer.dart", "Dart", 13, 7, 5, 25
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\widget_constants.dart", "Dart", 1, 3, 1, 5
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\components\bottom_nav_bar.dart", "Dart", 1, 0, 0, 1
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\delete_joke_icon_button.dart", "Dart", 27, 3, 4, 34
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\filter_options_menu\refresh_jokes_button.dart", "Dart", 5, 0, 1, 6
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\filter_options_menu\search_by_dropdown_button.dart", "Dart", 11, 0, 0, 11
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\filter_options_menu\show_only_users_jokes_button.dart", "Dart", 8, 0, 3, 11
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\jokes_list.dart", "Dart", 11, 0, 2, 13
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\jokes_list_element.dart", "Dart", 4, 0, 1, 5
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\like_joke_icon_button.dart", "Dart", 15, 0, 3, 18
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\home_view.dart", "Dart", -4, 0, 0, -4
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\bio_field.dart", "Dart", -40, 0, 1, -39
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\bio_page.dart", "Dart", -129, -3, -9, -141
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\status_field.dart", "Dart", 6, 0, 0, 6
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\view_users_jokes_button.dart", "Dart", 24, 2, 3, 29
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\profile_view.dart", "Dart", -4, 0, 0, -4
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\users_jokes.dart\components\user_jokes_search_textfield.dart", "Dart", 64, 2, 7, 73
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\users_jokes.dart\components\users_jokes_title_section.dart", "Dart", 21, 2, 3, 26
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\users_jokes.dart\users_jokes.dart", "Dart", 38, 1, 3, 42
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\write\write_view.dart", "Dart", 3, 0, 0, 3
"Total", "-", 209, 55, 72, 336
